name,address,founded,description,classification
HiveMQ,HiveMQ GmbH | Postplatz 397 | 84028 Landshut | Germany,2012,"HiveMQ helps customers harness the power of their IoT data to deliver new business outcomes. We ensure predictable data movement so companies can gain the data insights needed to create new products, find new efficiencies through automation, and scale their business within the extreme demands of a real-time communications environment. We also support a thriving open-source MQTT ecosystem to lay a future-proof foundation for IoT data. Our flagship product is HiveMQ, an MQTT broker that empowers innovative companies by creating a central nervous system between things, machines, and humans.Ashok Dudhat",Technology
Viewpointsystem,"Franz-Josefs-Kai 47/3.OG, 1010 Wien",2016,"Viewpointsystem is a Viennese deep-tech company that produces internationally awarded smart glasses. Our data glasses are used by corporate clients worldwide for remote support and maintenance, training and analysis, among other things. As the inventor of Eye Hyper-Tracking® and pioneer of Digital Iris® technology, our goal is to make Mixed Reality more intuitive and to take the interaction between people and the digital world to a new level. At our two locations in the 1st and 22nd districts, we develop and produce both the hardware and the software for the Smart Glasses.Ashok Dudhat",Technology
Annata,"Annata Hungary Kft., Budaörsi út 153, 1112 Budapest, Hungary Fonte irodahaz, 1. emelet, Biztup Kft.",2001,"Annata is a global organization headquartered in Iceland with a close engagement and co-operation with Microsoft bringing industry specific solutions to the market.As one of a handful of top strategic global Microsoft partners, we deliver solutions that are deeply embedded in the Microsoft ecosystem, provide functionality that helps automotive manufacturers, distributors, dealers, rental companies and fleet operators to deal with the industry challenges and to transform their existing operations and processes to adapt to and embrace new opportunities through technologies like IoT, machine learning, and cloud-based services.Our commitment to providing business solutions to the industry on Microsoft platforms is supported by our investment in R&D and close relationship with Microsoft to make sure our customers get the best possible technical solution fitting their industry needs, but with continuous innovation, development and support.Ashok Dudhat",Technology
TOWA Digital,"Brosswaldengasse 12, 6900 Bregenz, Austria",2011,"As an international award-winning digital agency based in Bregenz on Lake Constance and Vienna, the capital of Austria, we support medium-sized companies in the conception & realization of their digitalization strategy. We work on sophisticated user interfaces, web applications, high-traffic portals, digital design projects, online marketing campaigns and mobile apps.Ashok Dudhat",Technology
K2 Procurement Kft.,1068 Budapest Városligeti Fasor 40 AS6,2016,"We believe in life and business simplicity.Processes and systems are to support our life, not opposite.We are focused in cutting-edged cloud procurement transformations specialized in SAP and SAP Ariba solutions consulting.We deliver procurement digitization consulting services to our customers from Europe (Austria, Germany, Switzerland, Netherland, Hungary) – thus international projects are daily at us.Recently we look to improve our AI and IoT capabilities – so join our developer project team!Our fast-learning track and special projects will keep you continuously interested, variable and cutting-edge  job satisfaction.Visit our stand at TechJobs Fair from Budapest and learn more about your job opportunities!Ashok Dudhat",Information Technology
ENTER,Enter B.V. Beemdstraat 7 5653MA Eindhoven,2001,"We are ENTERAs ENTER we employ high-tech professionals, who work on various projects, mostly in the Brainport region around Eindhoven. This is the main high-tech hub in the Netherlands, with companies that work on a variety of products and solutions. ENTER’s software professionals are involved in projects to bring their products to market. We value software craftmanship and we aim to build functional, maintainable, and scalable products.Like our professionals, we go the extra mile and always try to create success in the long term, both with our clients and with our colleagues. We know the most challenging projects are taking place on the client’s premises. That is why at ENTER, we don’t focus on outsourcing projects. By working closely with teams, we are aware of what is going on in the high-tech industry.Your career at ENTERAll our professionals are hired on a permanent basis, independent of any specifi c project. We have a large and valuable network and know what is going on in the market and at our clients in great detail. Therefore, we are able to advise you about possible client projects that might be a match and help you prepare for client-meetings.As a software professional at ENTER, you will work full-time as part of the client’s team, on their premises; typically for a period of 1 to 3 years. Which project you will be working on, will be determined together with you. We select and match projects and professionals through focusing on experience, ambitions, personality, and, of course, a passion for technology. Your soft and technical skills also play a role in making the ideal match. Ashok Dudhat",Technology
ABBYY,ABBYY Process Intelligence Kft Sas utca 10. 1. em. 111. 1051 Budapest,1989,"ABBYY powers intelligent automation.With 30+ years of experience, our solutions reimagine the way people work and how companies accelerate business by delivering the intelligence that fuels automation platforms.  ABBYY is trusted by more than 10,000 clients globally, including many Fortune 500 companies. With over 800 colleagues in 15 locations, across four continents, the ABBYY team is a truly international one.ABBYY’s tech talent is concentrated in our two main Tech Hubs in Europe: Serbia and Hungary.Ashok Dudhat",Technology
Tata Consultancy Services,"Tata Consultancy Services Limited Magyarorszagi Fioktelepe - 1117 Budapest, Aliz utca 4. IV. em. (Office Garden 3)",,"Tata Consultancy Services (TCS) is an IT services, consulting and business solutions provider. We have been partnering with the world’s largest businesses in their transformation journey’s for the last fifty years. TCS Hungary is an employer that gives you access to different worlds, cultures, tasks, business areas and people. It is a colorful place where you can experience various challenges that help you progress as a professional and as a human being.Ashok Dudhat",Technology
Fronius International GmbH,"Fronius Straße 5, 4642 Sattledt",1945,"We are Fronius.Over 7000 employees worldwide, a current export share of 89 percent, and 1366 active patents: that’s us, that’s Fronius. Founded in 1945 as a regional one-man operation, we are now a global player – a fact that is impressively demonstrated by our 37 international subsidiaries and our network of sales partners in more than 60 countries. And yet, at our core, we are still a family-owned company from Austria, active in photovoltaics, welding, and battery charging technology. We have always developed products and solutions for a future worth living, offering our customers an all-in-one package in the process: from advance planning and consulting to ongoing monitoring and a repair service tailored to their specific needs. We are innovative. We are curious. We are Fronius.Ashok Dudhat",Technology
Zarttech,"Whillemina van Pruisenweg 35, 2595AN, The Hague",,"We help you scale your business by connecting vetted Senior IT Experts from diverse global backgrounds via our all-in-one tech-enabled platform containing recruitment tech with an advanced AI matching & productivity tool on a remote, hybrid or on-site (EU Region) basis. Zarttech also helps get your IT project done efficiently with the highest quality of work guaranteed.Ashok Dudhat",Technology
Anyline,"Zirkusgasse 13/2B, 1020 Wien",2013,Anyline was founded in 2013 and we are currently around 100 employees. We are growing steadily and already have another office in the US. We want to become the global market leader in mobile data capture solutions and be the best in automising AI and enabling people who do not have Machine Learning skills to create mobile data capture solutions on their own. Big things are on the horizon … 😉In short: Anyline – your mobile text recognition expert! Offline data can easily be processed in real-time with our outstanding image processing technology. Customers from both the private and the public sector rely on our technology to create superior digital products for their consumers.Ashok Dudhat,Technology
Silentus,"Tollenstraat 87-A, 3035 NE, Rotterdam, NL",2022,"Silentus’ mission is to help workers and students increase their productivity, improve their work-life balance, and enjoy a healthier lifestyle, enabling them with a smart app to prioritize notifications and keep themselves accountable on their progress.Silentus, a Founder Institute alumn, launched its Android version in August 2022, and iOS in October same year, and joined Station F (world’s largest startup campus, based in Paris) as part of INSEAD’s LaunchPad.Ashok Dudhat",Software
Trunkrs,"Utrecht, Netherlands",2015,"Trunkrs is a tech company that is focused on the delivery service for (r) e-tailers who want to be the very best in their market, with customers who want the very best (delivery) service. We deliver faster, more flexible, more sustainable and friendlier than anyone else.Ashok Dudhat",Logistics
XPAI – The Experiene AI,Avantgarde Gesellschaft für Kommunikation mbH (XPAI is part of Avantgarde Group),1985 for Avantgarde & 2021 for XPAI,"XPAI is changing the way we look at the offline world. We make offline experiences measurable and interpretable by data. Imagine a conference or a physical store, XPAI can tackle all with its unique sensor and deep learning algorithm. We developed AVAI One Sensor and XP Heartbeat to measure offline experiences such as events, hotels, offices, retail and more. We gather the data in terms of experience score, engagement, emotion and demographics.Ashok Dudhat",Analytics
Eraneos powered by Anchormen,"Quint Holding BV, De Oude Molen 1, 1184 VW Amstelveen ",2000,"Create value with data. We are Anchormen – Data Activators, part of Eraneos GroupDo you want to be at the forefront of data science, engineering, and AI? Do you share a passion for Data and are always looking for the best reliable solution? Do you want to be surrounded by professionals like you, with a high level of skills and experience, contributing your expertise while still learning some new tricks from others? Join Anchormen, the DATA & AI practice of Eraneos Group!Anchormen is a full-stack data activation expert offering innovative solutions that help clients transform, innovate, and grow. We believe that data is only valuable when it’s activated. Join a team of Data Engineers, Machine Learning Engineers, Data Scientists, AI Experts, Consultants, and staff and help us deliver meaningful results to our clients.Anchormen is part of Eraneos Group, an international group with more than 800 employees, providing complementary consulting and implementation expertise. We drive our clients’ digital transformation in an even more targeted and comprehensive manner. We’re an independent company, offering a complete portfolio from strategy and technology to implementation. We offer services around the globe but have a thorough local knowledge. We don’t just stand on the sidelines; as a team we are committed to achieving your goals and accelerating your digital transformation.Data is part of our DNAAt Anchormen, you will be responsible for developing high-end solutions for our clients in many different industries. Being at the cutting edge of technology means that we also need to keep our skills sharp! We value self-improvement and growth, so these are some of the things you can expect if you join our team:Innovation Day – Every quarter we organize an R&D/Innovation Day where we pick new tools and technology or interesting topics and we deep dive in them. Those days usually involve coding or researching something new with your colleagues over some drinks and foodTech talks & Conferences – Regularly, we organize internal tech talks where someone introduces a topic they’ve been researching or working on. This could also include current project in or out of Anchormen. We also often send our team to conferences and eventsKnowledge sharing – we organize a lot of meetups, webinars, bootcamps, as well as constantly write technical blogs, whitepapers, and even record podcasts. Want to be part of the process or contribute? Go for it!Training possibilitiesPart of something bigger- Anchormen is part of Eraneos Group – an international consultancy, training, and technology company that supports their clients with their digital transformation.Ashok Dudhat",Technology
think-cell Software,think-cell Software GmbH Leipziger Str. 51 10117 Berlin Germany,2002,"think-cell is the world’s leading productivity software for creating data-driven presentations in Microsoft PowerPoint, enabling users to generate sophisticated charts with ease while saving substantial time (based on a study, users save as much as 70% of their time compared to using native PowerPoint functionality). think-cell also offers layout functions for automatically arranging text, graphic elements and images while scaling and aligning their content accordingly.Our software has over 1 000,000 end-users across more than 25,000 organizations globally. think-cell is used by 8 out of the 10 top global consulting firms, 80 of the top 100 US blue chip companies and 9 of the top 10 US business schools.The focus on quality, combined with a deep understanding of what customers need, has led the company to be able to grow almost exclusively through word-of-mouth. All sales are channeled through the company’s online platform which is used by clients directly as well as by resellers from more than 60 countries. think-cell has extremely low customer churn and benefits from consistently growing cohorts.Ashok Dudhat",Software
integrationworks GmbH,integrationWorks GmbH Michael Fenner Fischerhüttenstr. 34 14163 Berlin,2008,"We are a growing IT services company and support our customers with customized IT solutions from consulting, training and development to outsourcing. Specialized in the integration of interfaces with the tools IBM Integration Bus, Boomi, Mulesosoft, Websphere MQ and the development of microservices, we cover a strongly growing sector in IT with our experts.Ashok Dudhat",Technology
TikTok,"Stralauer Allee 2, 10245 Berlin c/o Walitschek",2017,"Mission statementOur mission is to inspire creativity and bring joy.About TikTokTikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, Silicon Valley, New York, London, Paris, Berlin, Dubai, Toronto, Singapore, Jakarta, Seoul, and Tokyo.Ashok Dudhat",Technology
EDP Renewables,"C/Serrano Galvache, 56, Madrid, 28033",2007,"EDP Renováveis (Euronext: EDPR) is a leading global renewable energy company in the sector, focused on value creation, innovation and sustainability. We operate in markets around the world and are continuously expanding our business into new regions, committing to be leaders in every market, as well as creating value for our shareholders and other stakeholders.EDPR’s global presence is managed by two platforms that oversee the development, construction and operation of assets in its geographic areas. EDPR Europe, headquartered in Madrid, which manages the assets located in the European Union and Other Regions of the EDP Group, and EDPR North America, based in Houston, which manages the assets in the United States and Canada.Currently, it is the third most important energy operator in the Iberian Peninsula, with commercial interests in the generation, distribution and supply of electricity and gas sectors, both in Spain and Portugal. In addition to its leading position in the Iberian Peninsula, the EDP Group also occupies a prominent position in Brazil’s electricity sector.Ashok Dudhat",Energy
USER Rendszerház Kft,"HUNGARY, 1039 Budapest, Zöld utca 2",2006,"We are doing business with our customers by selling IBM, Lenovo, VMware, Kofax and Redhat hardware and software products for them. Besides that we are providing software development, integration and support services.We are continuously enhancing the scope of the provided products and services, answering the needs of our current and potential customers. We are willing to improve primarily our highly sophisticated, high-tech and knowledge-based services.We have initiated our business partnership with IBM in 1997 (with our predecessor in title – USER Tanácsadó Kft). IBM Business Partners are the primary means of providing small and medium sized businesses with IBM solutions and besides that the IBM Business Partners helps IBM to fulfill the IT needs of various enterprises.From the very beginning of our IBM partnership we are one of the largest reseller and integrator partner both in hardware and software in Hungary.Our primary goal is to provide excellent services to our customers. For that we are developing our IT system on a yearly bases. Our colleagues are always well trained and willing to keep their eyes on the technical development both at our direct partners and at the competitive providers. We also have devices that we can use to demonstrate the suggested solutions to our customers. We operates a continuously improved, yearly testified and approved quality management system since 2006.We are proud of, that in November, 2010 IBM invited us to be part of the IBM World Wide Tivoli TOP50 business partners that is a widely recognized technical, technological and sales cooperation with IBM.Ashok Dudhat",Information Technology
Genesys Cloud Services Hungary Kft.,"Genesys Cloud Services Kft. 1134 Budapest, Váci út 41. Advance Tower II. ép. 4. emelet",2021,"Genesys orchestrates more than 70 billion remarkable customer experiences for organizations in more than 100 countries. Through the power of our cloud, digital, and AI technologies, organizations can realize Experience as a Service℠, our vision for empathetic customer experiences at scale. With Genesys, organizations have the power to deliver proactive, predictive, and hyper-personalized experiences to deepen their customer connection across every marketing, sales, and service moment on any channel, while also improving employee productivity and engagement. By transforming back-office technology into a modern revenue velocity engine Genesys enables true intimacy at scale to foster customer trust and loyalty.Ashok Dudhat",Technology
Carl Zeiss Digital Innovation Hungary Kft.,"Hungary, 3526 Miskolc, Arany János tér 1.",1846,"ZEISS Digital Innovation develops innovative, dynamic digital solutions on your behalf with which you shape your markets. We combine ZEISS’ global expertise in the high-tech sector with many years of experience in individual software development and agile working methods.Software expertise is complemented by our in-depth know-how of industry challenges and standards. This is how we define, design, develop and test individual, progressive solutions.The sole owner of the holding company, Carl Zeiss AG, is the Carl Zeiss Foundation, one of the largest German foundations to support science.Ashok Dudhat",Technology
Exclusive Networks,Exclusive Networks Switzerland AG  Thurgauerstrasse 40 8050 Zürich,,"Exclusive Networks is a global trusted cybersecurity specialist for digital infrastructure helping to drive the transition to a totally trusted digital future for all people and organisations.Our distinctive approach to distribution gives partners more opportunity and more customer relevance. Our specialism is their strength – equipping them to capitalise on rapidly evolving technologies and transformative business models.The Exclusive story is a global one with a services-first ideology at its core, harnessing innovation and disruption to deliver partner value. With offices in 43 countries and the ability to service customers in over 170 countries across five continents, Exclusive combine the extreme focus and value of local independents with the scale and service delivery of a single worldwide distribution powerhouse.Ashok Dudhat",Cybersecurity
Homeostase,Amadora,2015,"Homeostase is a portuguese IT company created with the mission to provide services in the areas of Operations Intelligence, Big Data and Cybersecurity, with an almost exclusive focus on Splunk technology. We are an established, profitable, and innovative growing company with a small, agile and very flexible team.We are looking for enthusiastic candidates to join our team of Splunk specialists/experts with a focus on Cyber Security, DevOps and Observability and IT Management.How are we different ?We are not the typical IT consultant companyBoutique Consultant Team, Specialists not Generalists:Passionate about Complex Data Projects;Project based Allocation with high variety of customers, scenarios and challenges in an Agile management approach;Very flexible Work Schedule mostly remote;Balanced personal vs work life, for real; we try to have ~80% on project time for customers, ~10% for company time, team building and training and we really push for at least 10% for personal or free time;Leadership team focused on your professional and personal growth and development;Fully open, transparent and self-managed Team, where everyone has a voice and full access to all internal company information;Training and Certification in the world’s first “Data-to-Everything” Platform, a solid career investment with high demand worldwide;Potential for working in international projects.What do we work on ?We focus on Splunk Data-to-Everything Platform Projects withDoing highly skilled and specialist consultant work;Helping and guiding the customer in their Data-to-Everything journey;Variety of Industry leading solutions: Splunk Enterprise (Big Data) Platform, Cybersecurity SIEM, SOAR and EUBA solutions; DevOps, Observability and Application Monitoring;IT Operations Services;Challenge of diverse infrastructure and architecture scenarios with multi-site, clustering, high availability, hybrid on premise and cloud, multiple operating systems and cloud platforms (AWS, Azure and Google);Focus on Design, Architecture, Best Practices, Capacity Planning, Installation and Configuration for the Splunk Portfolio of products;",Technology
NR3,"48 Meadowmount, Churchtown, Dublin 16, Ireland, D16x516 ",2015,Your Software Development PartnerNR3 is a software development company based in Dublin and Lisbon which produces software solutions and provides software development and IT consultancy services.Ashok Dudhat,Technology
NIX Tech,"1133 Budapest, Árbóc utca 1-3. HUB 3.",2022,"NIX Tech is a global supplier of software engineering and IT outsourcing servicesNIX Tech teams collaborate with partners from different countries. Our specialists have experience in developing innovative projects from e-Commerce to cloud for some of the largest companies in the world, including from the Fortune 500. The teams are focused on stable development of the international IT market, business, and their own professional skills.Ashok Dudhat",Technology
MORTOFF Informatikai Tanácsadó és Szolgáltató Kft.,"Dunavirág u. 2., I. torony 3. emelet",,"Mortoff is one of the acknowledged IT consulting and service provider companies in Hungary. Our aim is to operate as a preferred partner among multinational enterprises with the result of the complexity of Mortoff’s services, innovative approach and outstanding quality.Our recommended solutions often reach over the original client requirements ensuring that all related business possibilities are covered.Our activities vary from consulting work through software development and testing to complete project management, from small to big projects, from business dilemmas to IT solutions.Ashok Dudhat",Technology
NEOTALENT,"Av. D. João II, n. 34, Parque das Nações. 1998-031 Lisboa, Portugal",1998,Talented people. Agile culture. Creating a real impact on people’s lives through technology. Join the responsive talent company.Ashok Dudhat,Technology
4iG Plc,"H-1037 Budapest, Montevideo srt. 8.",1990,"Headquartered in Budapest, 4iG Plc. is one of the paramount companies in the Hungarian IT and ICT market. With a Hungarian majority ownership background, it is also one of the leading groups in Hungary’s knowledge-based digital economy. 4iG has been present in the field of industry-based and industry-independent innovative technologies for more than 25 years, constantly expanding its services, staff, and portfolio in response to the changes and needs of the ICT market.4iG strives to develop a diversified, platform-independent and manufacturer-independent product and service portfolio in order to continuously ensure profitability for the group in the key strategic industries. The company’s aim is to gain a foothold in the markets of these strategic segments (i.e. artificial intelligence, blockchain, cyber security, fintech, Industry 4.0) with proprietary solutions.Ashok Dudhat",Technology
zohar studio,rothchild 45 tel aviv,2012,"Zohar Studio is a digital product agency. We design making ux  and build high-end web and mobile applications including the branding side.Our portfolio is diverse and includes work created for a range of B2B and B2C clients: from leading high-tech and startup companies to businesses in the medical and fashion industrySince 2012 we have been working with successful startups We have developed our distinctive methodology which consists in 6 steps process, and allows us to constantly deliver successful digital products.Through memorable and distinctive solutions we want to simplify and enhance our clients and their users lives.Ashok Dudhat",Technology
Bloq.it,"Parada Alto de São João 17A Porta E, 1900-151 Lisboa",2019,"📌 Bloq.it is the fastest-growing Smart Locker company in the world.Our story began in 2019, in San Francisco, CA, with the idea of creating publicly available Smart Lockers controlled by a mobile app, ever since we’ve been growing more than 1000% year over year and were nominated for the Global ScaleUp of the Year for 2022, by StartupGrind.So far, we have been able to provide Smart Lockers for some of the world’s leading players in e-commerce, logistics, and retail, such as Vinted and El Corte Ingles – and are positioning ourselves as the leading tech solution in this segment.We’re now building the largest Smart Locker network in Europe with Vinted, starting in Paris, France.We’re actively hiring for multiple roles, and you can become the next #bloqstar by applying to one of the open roles: https://bloq.it/jobs/ Ashok Dudhat",Technology
Wipro,"Rua Engº Frederico Ulrich, 2650 - Edificio Wipro 4470-605 Moreira, Maia Portugal",,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs. Leveraging our holistic portfolio of capabilities in consulting, design, engineering, and operations, we help clients realize their boldest ambitions and build future-ready, sustainable businesses. With over 240,000 employees and business partners across 66 countries, we deliver on the promise of helping our customers, colleagues, and communities, to thrive in an ever-changing world.Ashok Dudhat",Technology
NCC Group,"48 W 25th Street, 4th Floor, New York, NY 10010",1999,"NCC Group is a global cyber and software resilience business operating across multiple sectors, geographies and technologies.Key factsWe have a significant market presence in North America, the UK, continental Europe and a rapidly growing footprint in Asia PacificWe work across both private and public sectors, including supporting governmentsWe have circa 1,800 technologists and professionals working to help keep our customers cyber safe and secureAt any given time we are working with over 40 programming languagesWe have over 100,000 deposits of code safely secured in escrow for our customersAs at January 2020 we were supporting 58 Fortune 500 and 85 FTSE 350 clientsAdmitted onto the London Stock Exchange on 13 July 2007What we doWe assess, develop and manage cyber threats across our increasingly connected society. We advise global technology, manufacturers, financial institutions, critical national infrastructure providers, retailers and governments on the best way to keep businesses, software and personal data safe.Ashok Dudhat",Cybersecurity
Neurons,"Høje Taastrup Boulevard 33, sal 2 2630 Taastrup",2013,"Neurons is the world’s leading consumer neuroscience company. Since 2013, we have worked with Fortune-500 companies to optimize every part of their customer journey, including advertising, retail, user experience, innovation, tech, and beyond. We offer a suite of neuroscience products that comprise Predict, a cloud-based, attention prediction AI; Explore, a remote neuroscience user testing platform; and Research, a bespoke, full-scale research solution.Ashok Dudhat",Neuroscience
eikko,"IKARI TECHNOLOGY SOLUTIONS LDA, Rua Pedro Nunes, Instituto Pedro Nunes, Coimbra, 3030-199 Portugal",2020,"eikko is an AI powered job matching platform.Looking for a job should be transparent and humane. Your skills, your knowledge, your personality matters.Find the right job for you at eikko.Ashok Dudhat",Technology
Vestas,"Centro Empresarial Lionesa, Rua da Lionesa Edifício B, 4465-671 Leça do Balio",1945,"Vestas is the energy industry’s global partner for sustainable energy solutions.To strengthen its Global R&D setup, Vestas established a technology center in Porto in 2017.Along with similar centers in Denmark, India, Germany, and the UK, Vestas Porto plays a key role in developing new products and technologies for the global market in an ever-changing environment, ensuring Vestas continues to have a market-leading portfolio.Securing capabilities in a cross-functional and agile development environment, Vestas Porto covers a broad set of different disciplines across renewable energy value engineering, from software development, mechanical design, electronics, power systems, control systems, aeroelasticity, data analytics, and materials.With more than 29.000 employees across the globe and more than 500 in Porto, everyone at Vestas is proud of working in a company that greatly contributes to a more renewable future, ensuring the delivery of best-in-class sustainable energy solutions while setting the pace in our industry to the benefit of our customers and our planet.Ashok Dudhat",Energy
Crossjoin Solutions,"Rua Marcos de Assunção, nº 4H 2800-663, Pragal, Portugal",2009,"Our team makes the difference.We are Experts in IT Performance Optimization and we began operations in 2010 in Belgium and Portugal, with our ‘Fire-Fight’ proposal, which provides rapid resolution of incidents related to slowness or digital systems unavailability in its customer’s businesses. We operate in large systems with considerable complexity solving immediate critical problems, as well as, preventing them from happening. We are the ideal partner in delivering intelligent and certified solutions that optimize our client’s business: technology, processes, and people!For us, every millisecond counts!Ashok Dudhat",Information Technology
NASSCOM,"NASSCOM Plot 7 to 10, Sector 126, Noida - 201303",,"About FutureSkills Prime:FutureSkills Prime is a skilling ecosystem focused on emerging technologies, powered by a partnership between the Ministry of Electronics and Information Technology, the Government of India, NASSCOM, and the IT industry. It seeks to propel India to become a global hub of talent in emerging technologies.For more information log on to: https://futureskillsprime.in/About NASSCOM:NASSCOM is the premier trade body and chamber of commerce of the Tech industry in India and comprises over 3,000 member companies including both Indian and multinational organizations that have a presence in India.For more information log on to: https://nasscom.in/About MEITY:The Ministry of Electronics and Information Technology is an executive agency of the Union Government of the Republic of India. It is responsible for IT policy, strategy, and development of the electronics industry.For more information log on to: https://www.meity.gov.in/Ashok Dudhat",Technology
BI4ALL,"Avenida Marechal Gomes da Costa, nº 27, A/B, Armazém 1",2004,"BI4ALL is a Multinational company, created in 2004, highly dynamic, young and passionate about technological innovation. We are leaders in consulting services with excellences skills in Digital Transformation and Data Strategy. Focusing on Analytics, Big Data, Data Science, Artificial Intelligence, Data Visualizations, CPM, UX/UI Design, Business Analysis and Software Engineering.Innovation is in our DNA and together we contribute to the development of organizations by turning data into insights. Our Mission is to offer the best solutions to our Clients, and help them to achieve their goals with success. We create Magic with Data! We are the Best Place to Work!Ashok Dudhat",Technology
